,Country,Date,TimeStamp,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed (mph)
san borja,bo,2017-12-09,2017-12-09 14:48:48,32.0,86.0,-14.82,-66.85,81.2,3.74
humaita,br,2017-12-09,2017-12-09 14:48:49,64.0,74.0,-7.51,-63.02,86.6,2.95
nemuro,jp,2017-12-09,2017-12-09 14:48:49,0.0,100.0,43.32,145.57,30.89,25.55
sevlievo,bg,2017-12-09,2017-12-09 14:30:00,36.0,79.0,43.03,25.11,55.4,12.75
beringovskiy,ru,2017-12-09,2017-12-09 14:48:50,80.0,100.0,63.05,179.32,22.75,8.77
shingu,jp,2017-12-09,2017-12-09 14:48:50,12.0,100.0,33.73,135.98,48.62,9.44
dehloran,ir,2017-12-09,2017-12-09 14:48:51,0.0,62.0,32.69,47.27,51.1,7.99
burgeo,ca,2017-12-09,2017-12-09 14:48:51,76.0,100.0,47.62,-57.62,38.27,6.87
bhandaria,bd,2017-12-09,2017-12-09 14:48:52,92.0,98.0,22.49,90.06,73.28,9.22
georgetown,gy,2017-12-09,2017-12-09 14:00:00,75.0,94.0,6.8,-58.16,78.8,9.17
broome,au,2017-12-09,2017-12-09 14:00:00,32.0,79.0,-17.97,122.23,86.0,11.41
villamartin,es,2017-12-09,2017-12-09 14:30:00,90.0,72.0,36.86,-5.64,64.4,6.93
matipo,br,2017-12-09,2017-12-09 14:48:53,24.0,94.0,-20.28,-42.34,77.78,4.63
high level,ca,2017-12-09,2017-12-09 14:00:00,20.0,92.0,58.52,-117.14,23.0,4.85
neiafu,to,2017-12-09,2017-12-09 14:00:00,20.0,94.0,-18.65,-173.98,68.0,7.54
grand gaube,mu,2017-12-09,2017-12-09 14:00:00,40.0,69.0,-20.01,57.66,80.6,11.41
port hedland,au,2017-12-09,2017-12-09 14:00:00,0.0,78.0,-20.32,118.57,82.4,11.41
quelimane,mz,2017-12-09,2017-12-09 14:00:00,40.0,58.0,-17.88,36.89,86.0,9.17
san cristobal,ec,2017-12-09,2017-12-09 14:00:00,20.0,78.0,-0.9,-89.62,73.4,9.17
yeppoon,au,2017-12-09,2017-12-09 14:00:00,44.0,88.0,-23.13,150.73,73.4,5.82
qaqortoq,gl,2017-12-09,2017-12-09 13:50:00,75.0,33.0,60.72,-46.03,46.4,28.86
hualmay,pe,2017-12-09,2017-12-09 14:48:56,24.0,76.0,-11.1,-77.61,68.69,4.29
yichun,cn,2017-12-09,2017-12-09 14:48:56,44.0,59.0,47.7,128.9,-13.12,3.06
kochki,ru,2017-12-09,2017-12-09 14:48:57,8.0,80.0,54.34,80.48,3.98,4.18
norman wells,ca,2017-12-09,2017-12-09 14:00:00,90.0,92.0,65.28,-126.83,19.4,3.36
presidente medici,br,2017-12-09,2017-12-09 14:48:57,56.0,80.0,-11.18,-61.9,85.34,4.52
san vicente,ph,2017-12-09,2017-12-09 14:00:00,90.0,78.0,15.3,120.65,80.6,4.7
berberati,cf,2017-12-09,2017-12-09 14:48:58,68.0,63.0,4.26,15.79,82.73,6.64
laguna,br,2017-12-09,2017-12-09 14:48:58,0.0,96.0,-28.48,-48.78,72.47,6.76
balkanabat,tm,2017-12-09,2017-12-09 14:48:59,0.0,88.0,39.51,54.37,30.08,2.17
danville,us,2017-12-09,2017-12-09 14:17:00,90.0,93.0,36.59,-79.4,33.8,5.82
jeremie,ht,2017-12-09,2017-12-09 14:48:59,56.0,91.0,18.65,-74.12,81.25,10.33
boyolangu,id,2017-12-09,2017-12-09 14:49:00,76.0,100.0,-8.12,111.89,79.13,7.43
chiredzi,zw,2017-12-09,2017-12-09 14:49:00,0.0,60.0,-21.05,31.67,81.56,4.41
sujiatun,cn,2017-12-09,2017-12-09 14:00:00,76.0,68.0,41.66,123.34,26.6,4.47
chuzhou,cn,2017-12-09,2017-12-09 14:49:00,12.0,88.0,32.32,118.3,32.87,9.1
chibuto,mz,2017-12-09,2017-12-09 14:49:01,0.0,50.0,-24.69,33.53,85.97,4.63
areosa,pt,2017-12-09,2017-12-09 14:30:00,75.0,93.0,41.72,-8.86,60.8,5.82
abu dhabi,ae,2017-12-09,2017-12-09 14:00:00,20.0,53.0,24.47,54.37,73.4,10.29
evensk,ru,2017-12-09,2017-12-09 14:49:02,12.0,100.0,61.95,159.23,-0.3,13.24
nelson bay,au,2017-12-09,2017-12-09 14:00:00,0.0,93.0,-32.72,152.15,59.0,6.42
waddan,ly,2017-12-09,2017-12-09 14:49:02,76.0,38.0,29.16,16.14,58.34,3.4
maningrida,au,2017-12-09,2017-12-09 14:49:03,12.0,72.0,-12.07,134.27,85.21,8.66
guerrero negro,mx,2017-12-09,2017-12-09 14:44:27,12.0,84.0,27.98,-114.06,50.65,1.83
sol-iletsk,ru,2017-12-09,2017-12-09 14:49:03,68.0,82.0,51.16,54.99,19.01,15.14
haines junction,ca,2017-12-09,2017-12-09 14:49:03,8.0,63.0,60.75,-137.51,8.75,2.17
tadine,nc,2017-12-09,2017-12-09 14:49:04,92.0,96.0,-21.55,167.88,77.51,10.45
carnarvon,au,2017-12-09,2017-12-09 14:49:04,20.0,100.0,-24.87,113.63,71.39,7.2
vancouver,ca,2017-12-09,2017-12-09 14:35:00,1.0,100.0,49.25,-123.12,33.8,3.18
morro bay,us,2017-12-09,2017-12-09 13:56:00,1.0,52.0,35.37,-120.85,41.0,2.62
camana,pe,2017-12-09,2017-12-09 14:49:05,20.0,98.0,-16.62,-72.71,65.54,7.87
monrovia,lr,2017-12-09,2017-12-09 14:30:00,75.0,62.0,6.3,-10.8,89.6,14.99
inuvik,ca,2017-12-09,2017-12-09 14:00:00,90.0,85.0,68.35,-133.72,12.2,4.7
snezhnogorsk,ru,2017-12-09,2017-12-09 14:00:00,75.0,79.0,69.19,33.25,19.4,8.95
savonlinna,fi,2017-12-09,2017-12-09 14:20:00,90.0,92.0,61.87,28.92,33.8,8.05
lorengau,pg,2017-12-09,2017-12-09 14:49:06,36.0,100.0,-2.02,147.27,82.82,3.18
port hardy,ca,2017-12-09,2017-12-09 14:00:00,75.0,65.0,50.7,-127.42,44.6,24.16
namatanai,pg,2017-12-09,2017-12-09 14:49:07,88.0,100.0,-3.67,152.43,80.66,9.44
tromso,no,2017-12-09,2017-12-09 14:20:00,0.0,79.0,69.65,18.96,26.6,5.82
bulgan,mn,2017-12-09,2017-12-09 14:49:07,64.0,69.0,48.81,103.53,4.21,2.73
bodden town,ky,2017-12-09,2017-12-09 14:00:00,90.0,100.0,19.28,-81.25,75.2,14.99
boksitogorsk,ru,2017-12-09,2017-12-09 14:49:08,92.0,93.0,59.47,33.85,33.73,5.64
la ronge,ca,2017-12-09,2017-12-09 14:00:00,20.0,92.0,55.1,-105.28,19.4,5.82
lithakia,gr,2017-12-09,2017-12-09 14:20:00,40.0,59.0,37.72,20.83,62.6,9.17
nabire,id,2017-12-09,2017-12-09 14:49:09,92.0,97.0,-3.37,135.48,69.41,1.83
touros,br,2017-12-09,2017-12-09 14:49:09,80.0,71.0,-5.2,-35.46,84.44,11.34
trollhattan,se,2017-12-09,2017-12-09 14:20:00,48.0,69.0,58.28,12.29,39.2,8.05
shanghai,cn,2017-12-09,2017-12-09 14:00:00,0.0,65.0,31.22,121.46,41.0,6.71
severo-yeniseyskiy,ru,2017-12-09,2017-12-09 14:49:10,76.0,79.0,60.37,93.04,15.5,2.73
noumea,nc,2017-12-09,2017-12-09 14:30:00,32.0,78.0,-22.28,166.46,75.2,2.24
ilo,pe,2017-12-09,2017-12-09 14:47:28,8.0,76.0,-17.64,-71.34,68.83,3.62
padang,id,2017-12-09,2017-12-09 14:49:10,56.0,100.0,-0.95,100.35,78.14,6.42
jawhar,so,2017-12-09,2017-12-09 14:49:11,32.0,34.0,2.78,45.5,87.77,10.67
huanren,cn,2017-12-09,2017-12-09 14:49:11,48.0,62.0,41.26,125.37,24.46,4.63
coihaique,cl,2017-12-09,2017-12-09 14:00:00,90.0,62.0,-45.58,-72.07,55.4,6.93
egvekinot,ru,2017-12-09,2017-12-09 14:49:12,12.0,71.0,66.32,-179.17,10.55,4.18
villanueva,co,2017-12-09,2017-12-09 14:49:12,12.0,53.0,5.28,-71.97,89.93,15.48
chimbote,pe,2017-12-09,2017-12-09 14:49:12,56.0,85.0,-9.09,-78.58,66.85,3.62
obuasi,gh,2017-12-09,2017-12-09 14:49:13,8.0,97.0,6.21,-1.66,80.48,4.41
richards bay,za,2017-12-09,2017-12-09 14:49:13,0.0,63.0,-28.78,32.04,81.47,10.67
xam nua,la,2017-12-09,2017-12-09 14:49:13,92.0,98.0,20.42,104.04,57.44,2.39
brae,gb,2017-12-09,2017-12-09 14:20:00,80.0,74.0,60.4,-1.35,35.6,12.75
bujaru,br,2017-12-09,2017-12-09 14:00:00,75.0,66.0,-1.51,-48.04,87.8,9.17
george town,ky,2017-12-09,2017-12-09 14:00:00,90.0,100.0,19.29,-81.37,75.2,14.99
bulungu,cd,2017-12-09,2017-12-09 14:49:14,68.0,80.0,-4.55,18.6,79.81,6.98
marsa matruh,eg,2017-12-09,2017-12-09 14:00:00,40.0,55.0,31.35,27.25,64.4,8.05
mazagao,br,2017-12-09,2017-12-09 14:00:00,40.0,50.0,-0.12,-51.29,95.0,13.87
michigan city,us,2017-12-09,2017-12-09 14:15:00,90.0,86.0,41.71,-86.9,32.0,10.29
bilma,ne,2017-12-09,2017-12-09 14:49:16,92.0,37.0,18.69,12.92,69.23,5.41
abong mbang,cm,2017-12-09,2017-12-09 14:49:16,68.0,50.0,3.98,13.18,84.71,2.73
ngunguru,nz,2017-12-09,2017-12-09 14:49:16,92.0,100.0,-35.62,174.5,65.23,9.78
aripuana,br,2017-12-09,2017-12-09 14:49:17,64.0,77.0,-9.17,-60.63,87.01,3.51
kamenka,ru,2017-12-09,2017-12-09 14:49:17,80.0,92.0,51.32,42.77,26.08,9.1
mogocha,ru,2017-12-09,2017-12-09 14:49:18,44.0,24.0,53.73,119.77,-17.85,8.43
vila nova de milfontes,pt,2017-12-09,2017-12-09 14:49:18,56.0,96.0,37.72,-8.78,62.84,14.47
nyurba,ru,2017-12-09,2017-12-09 14:49:18,24.0,47.0,63.28,118.33,-29.01,4.63
balgazyn,ru,2017-12-09,2017-12-09 14:49:19,0.0,51.0,51.0,95.2,-12.04,2.28
san martin,ar,2017-12-09,2017-12-09 14:00:00,0.0,29.0,-33.08,-68.47,77.0,11.41
meulaboh,id,2017-12-09,2017-12-09 14:49:19,80.0,100.0,4.14,96.13,78.68,2.62
ghauspur,pk,2017-12-09,2017-12-09 14:00:00,40.0,63.0,28.14,69.08,64.4,2.39
akron,us,2017-12-09,2017-12-09 14:15:00,90.0,73.0,41.08,-81.52,24.8,4.7
kisangani,cd,2017-12-09,2017-12-09 14:49:20,32.0,86.0,0.52,25.2,79.22,2.73
kirakira,sb,2017-12-09,2017-12-09 14:49:20,92.0,100.0,-10.45,161.92,84.85,3.85
caraguatay,py,2017-12-09,2017-12-09 14:49:21,8.0,61.0,-25.23,-56.82,92.99,3.62
fare,pf,2017-12-09,2017-12-09 14:49:21,80.0,100.0,-16.7,-151.02,78.55,13.35
totolapan,mx,2017-12-09,2017-12-09 13:50:00,5.0,51.0,18.97,-98.92,59.0,2.73
nanortalik,gl,2017-12-09,2017-12-09 14:49:22,92.0,90.0,60.14,-45.24,34.22,8.99
barreirinhas,br,2017-12-09,2017-12-09 14:49:22,8.0,49.0,-2.75,-42.83,91.73,14.47
ishim,ru,2017-12-09,2017-12-09 14:49:23,92.0,84.0,56.11,69.49,18.38,12.8
belyy yar,ru,2017-12-09,2017-12-09 14:00:00,75.0,84.0,53.6,91.39,6.8,3.06
sao gabriel da cachoeira,br,2017-12-09,2017-12-09 14:00:00,40.0,88.0,-0.13,-67.09,80.6,4.7
mayumba,ga,2017-12-09,2017-12-09 14:49:24,80.0,95.0,-3.43,10.66,78.91,9.33
nisia floresta,br,2017-12-09,2017-12-09 14:00:00,40.0,62.0,-6.09,-35.21,86.0,13.87
alice springs,au,2017-12-09,2017-12-09 14:00:00,0.0,27.0,-23.7,133.88,68.0,3.36
wanning,cn,2017-12-09,2017-12-09 14:49:24,0.0,100.0,18.8,110.4,68.56,10.78
sur,om,2017-12-09,2017-12-09 14:49:25,36.0,100.0,22.57,59.53,70.18,17.49
torbay,ca,2017-12-09,2017-12-09 14:27:00,90.0,93.0,47.67,-52.73,37.4,11.41
kodinsk,ru,2017-12-09,2017-12-09 14:49:25,44.0,60.0,58.69,99.18,-2.28,3.96
flic en flac,mu,2017-12-09,2017-12-09 14:00:00,40.0,69.0,-20.27,57.36,80.6,11.41
mwinilunga,zm,2017-12-09,2017-12-09 14:49:26,92.0,73.0,-11.74,24.43,74.36,2.62
talaja,in,2017-12-09,2017-12-09 14:00:00,0.0,65.0,21.35,72.05,80.6,2.28
taltal,cl,2017-12-09,2017-12-09 14:49:27,0.0,58.0,-25.4,-70.48,71.26,3.62
wuwei,cn,2017-12-09,2017-12-09 14:49:27,0.0,56.0,37.93,102.64,1.33,2.62
jinchang,cn,2017-12-09,2017-12-09 14:49:27,0.0,58.0,38.5,102.17,6.01,3.06
nouadhibou,mr,2017-12-09,2017-12-09 14:00:00,12.0,38.0,20.93,-17.03,73.4,10.29
severnyy,ru,2017-12-09,2017-12-09 14:00:00,90.0,100.0,50.68,36.55,33.8,6.71
saint-augustin,ca,2017-12-09,2017-12-09 14:49:28,0.0,100.0,51.23,-58.65,25.49,12.24
lichtenburg,za,2017-12-09,2017-12-09 14:49:29,88.0,57.0,-26.15,26.16,76.07,11.9
mazatlan,mx,2017-12-09,2017-12-09 13:44:00,40.0,87.0,23.22,-106.42,46.4,4.7
ossora,ru,2017-12-09,2017-12-09 14:49:29,88.0,89.0,59.24,163.07,20.68,18.72
casablanca,ma,2017-12-09,2017-12-09 14:30:00,0.0,52.0,33.59,-7.62,68.0,8.05
nieves,mx,2017-12-09,2017-12-09 14:49:29,0.0,57.0,24.0,-103.02,21.26,4.41
sangar,ru,2017-12-09,2017-12-09 14:49:30,0.0,0.0,63.92,127.47,-38.01,4.74
tucumcari,us,2017-12-09,2017-12-09 13:53:00,1.0,53.0,35.17,-103.72,26.6,9.17
iqaluit,ca,2017-12-09,2017-12-09 14:00:00,90.0,78.0,63.75,-68.51,17.6,5.82
shasta lake,us,2017-12-09,2017-12-09 13:54:00,1.0,86.0,40.68,-122.37,35.6,2.39
batemans bay,au,2017-12-09,2017-12-09 14:49:31,0.0,100.0,-35.72,150.18,58.43,2.51
mercedes,ar,2017-12-09,2017-12-09 14:49:31,0.0,38.0,-34.65,-59.43,90.43,8.43
zheleznodorozhnyy,ru,2017-12-09,2017-12-09 14:00:00,90.0,94.0,55.75,38.0,33.8,6.71
micheweni,tz,2017-12-09,2017-12-09 14:49:32,44.0,100.0,-4.97,39.83,83.18,19.06
linhares,br,2017-12-09,2017-12-09 14:49:32,36.0,95.0,-19.39,-40.07,84.76,4.97
northam,au,2017-12-09,2017-12-09 14:00:00,24.0,56.0,-31.67,116.67,73.4,1.12
la asuncion,ve,2017-12-09,2017-12-09 14:49:33,36.0,100.0,11.03,-63.86,78.95,14.47
harper,lr,2017-12-09,2017-12-09 14:49:33,56.0,100.0,4.38,-7.72,76.52,14.25
bonavista,ca,2017-12-09,2017-12-09 14:49:34,88.0,98.0,48.65,-53.11,35.53,11.45
isangel,vu,2017-12-09,2017-12-09 14:49:34,80.0,100.0,-19.55,169.27,77.51,11.12
pula,hr,2017-12-09,2017-12-09 14:30:00,20.0,56.0,44.87,13.85,42.8,10.29
shumskiy,ru,2017-12-09,2017-12-09 14:49:35,76.0,82.0,54.83,99.13,13.25,2.62
pesaro,it,2017-12-09,2017-12-09 14:15:00,40.0,100.0,43.9,12.89,44.6,4.7
carballo,es,2017-12-09,2017-12-09 14:30:00,75.0,82.0,43.21,-8.69,60.8,12.75
burriana,es,2017-12-09,2017-12-09 14:30:00,20.0,44.0,39.89,-0.09,60.8,4.7
meteti,pa,2017-12-09,2017-12-09 14:49:36,80.0,100.0,8.5,-77.98,76.93,3.62
pakokku,mm,2017-12-09,2017-12-09 14:49:36,92.0,100.0,21.33,95.1,69.5,6.87
aktau,kz,2017-12-09,2017-12-09 14:00:00,20.0,92.0,43.65,51.2,24.8,6.71
springdale,ca,2017-12-09,2017-12-09 14:49:37,56.0,93.0,49.5,-56.06,33.68,13.8
koumac,nc,2017-12-09,2017-12-09 14:49:37,12.0,95.0,-20.57,164.28,73.15,5.97
hanmer springs,nz,2017-12-09,2017-12-09 14:49:37,56.0,66.0,-42.52,172.82,62.21,10.67
tahoua,ne,2017-12-09,2017-12-09 14:00:00,0.0,18.0,14.89,5.27,84.2,6.93
ahipara,nz,2017-12-09,2017-12-09 14:49:38,64.0,100.0,-35.17,173.17,61.13,4.63
muros,es,2017-12-09,2017-12-09 14:30:00,90.0,100.0,42.78,-9.06,55.4,10.29
zyryanskoye,ru,2017-12-09,2017-12-09 14:49:39,0.0,77.0,56.83,86.63,14.83,11.68
kushalgarh,in,2017-12-09,2017-12-09 14:49:39,32.0,64.0,23.2,74.45,70.67,4.52
peniche,pt,2017-12-09,2017-12-09 14:30:00,40.0,82.0,39.36,-9.38,62.6,8.05
stephenville,us,2017-12-09,2017-12-09 14:15:00,1.0,55.0,32.22,-98.2,42.8,14.47
staryy urukh,ru,2017-12-09,2017-12-09 14:00:00,0.0,75.0,43.34,44.02,41.0,2.24
faribault,us,2017-12-09,2017-12-09 14:19:00,90.0,73.0,44.3,-93.27,21.2,6.93
lavrentiya,ru,2017-12-09,2017-12-09 14:49:40,0.0,100.0,65.58,-171.0,23.33,24.09
erzin,ru,2017-12-09,2017-12-09 14:49:40,0.0,53.0,50.26,95.16,-13.57,2.95
dire,ml,2017-12-09,2017-12-09 14:49:41,0.0,22.0,12.28,-10.97,92.27,8.32
